NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;63.2752;1.01664;62.2398;30.0084;2322;1650.6599;78159;49566;2.2321;211;35;21;1181;1141;1274;1132;64634;43159;30189;44994
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;84;0.0000;8289;12;0.4856;12;4;0;48;36;39;1;8227;11;593;603
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;173.2609;56.8068;40;6485.9260;3892;675;1.3280;27;1;8;30;10;31;9;2536;476;99;162
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;63.5095;0.992576;63.9844;29.5949;2290;1599.2759;77664;46085;2.2351;212;30;26;1160;1130;1216;1114;64134;40114;31028;46216
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;86;0.0000;8259;11;0.4998;14;6;0;47;39;40;1;8194;10;604;600
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;176.1013;49.7060;35;6657.7669;4099;589;1.3194;23;1;6;29;6;34;5;2565;391;100;164
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;84;0.0000;8172;12;0.5176;14;7;0;47;37;41;1;8104;11;623;596
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;173.2609;48.2858;34;6657.7669;4078;610;1.2138;27;1;5;29;5;32;4;2556;410;99;162
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;62.3737;0.961809;64.8503;29.4786;2281;1584.7757;77401;45226;2.2592;219;28;30;1172;1109;1230;1102;63897;39326;31225;46484
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;60.3716;0.923576;65.3672;29.4915;2282;1582.1005;78137;44283;2.2582;224;26;33;1169;1113;1234;1091;64498;38458;32077;47695
